1|Total Coliform Bacteria|Y|\N|total_coliform
2|E.coli|Y|\N|e_coli
3|Nitrate + Nitrite as NO3|Y|\N|\N
4|Nitrite as NO2|Y|\N|\N
5|Quant Limit|Y|\N|quant_limit
6|Heterotrophic Plate Count|Y|\N|\N
7|Well Count|Y|\N|well_count
8|Free Chlorine|Y|\N|free_chlorine
9|Total Chlorine|Y|\N|total_chlorine
10|Repeat Code|Y|\N|repeat_code
11|Original Sample Number|Y|\N|orig_sample_number
12|Final Report FAX Number|Y|\N|final_report_fax_num
13|Fax to attention|Y|\N|fax_to_attention
14|Received by|Y|\N|\N
15|pH|Y|\N|\N
16|Sample Intact|Y|\N|\N
17|Temperature|Y|\N|temperature
18|Result of Local Fluoride Analysis|Y|\N|\N
19|PWS Id|Y|\N|pws_id
20|Collected Date|Y|\N|smpl_collected_date
21|Collected Time|Y|\N|smpl_collected_time
22|Client Reference|Y|\N|smpl_client_ref
23|State Lab #|Y|\N|state_lab_num
24|Facility Id|Y|\N|facility_id
25|Sample Type|Y|\N|sample_type
26|Sample Category|Y|\N|sample_cat
27|Sample Collection Point Id|Y|\N|sample_pt_id
28|Location|Y|\N|location
29|Collector|Y|\N|collector
30|Is Hazardous|Y|\N|is_hazardous
31|Location Apt/Suite #|Y|\N|loc_mult_unit
32|Location Street Address|Y|\N|loc_street_address
33|Location City|Y|\N|loc_city
34|Location State|Y|\N|loc_state
35|Location Zip Code|Y|\N|loc_zip_code
36|Location Country|Y|\N|loc_country
37|Priority|Y|\N|priority
38|Collector Phone|Y|\N|collector_phone
39|Description|Y|\N|description
40|Project Name|Y|\N|project_name
41|Report To|Y|\N|report_to
42|Report To Apt/Suite #|Y|\N|report_to_mult_unit
43|Report To Attention|Y|\N|report_to_attention
44|Report To City|Y|\N|report_to_city
45|Report To Phone #|Y|\N|report_to_phone_num
46|Report To State|Y|\N|report_to_state
47|Report To Street Address|Y|\N|report_to_street_add
48|Report To Zip Code|Y|\N|report_to_zip_code
49|Owner|Y|\N|owner
