1|2|1|Y|Y|Y|Y|\N
2|2|2|Y|Y|Y|Y|\N
3|2|3|Y|Y|Y|Y|\N
4|2|4|Y|Y|Y|Y|\N
5|2|5|Y|Y|Y|N|\N
6|2|6|Y|Y|Y|N|\N
7|2|7|Y|Y|Y|N|\N
8|2|8|Y|Y|Y|N|\N
9|2|9|Y|Y|Y|N|\N
10|2|10|Y|Y|Y|Y|\N
11|2|11|Y|Y|Y|N|\N
12|2|12|Y|Y|Y|N|\N
13|2|13|Y|Y|Y|Y|\N
14|2|14|Y|Y|Y|N|\N
15|2|15|Y|Y|Y|N|\N
16|2|16|Y|Y|Y|N|\N
17|2|17|Y|Y|Y|N|\N
18|2|18|Y|Y|Y|Y|\N
19|2|19|Y|Y|Y|Y|\N
20|2|20|Y|Y|Y|N|\N
21|2|21|Y|N|N|N|\N
22|2|22|Y|N|N|N|\N
23|2|23|Y|Y|Y|N|\N
24|2|24|Y|Y|Y|N|\N
25|2|25|Y|Y|Y|Y|\N
26|2|26|Y|Y|Y|N|\N
27|2|27|Y|Y|Y|N|\N
28|2|28|Y|Y|Y|N|\N
29|2|29|Y|N|N|N|\N
30|2|30|Y|Y|Y|N|\N
31|2|31|Y|Y|Y|N|\N
32|2|32|Y|N|N|N|\N
33|2|33|Y|N|N|N|\N
34|2|34|Y|N|N|N|\N
35|2|35|Y|N|N|N|\N
36|2|36|Y|N|N|N|\N
37|2|37|Y|N|N|N|\N
38|2|38|Y|Y|Y|N|\N
39|2|39|Y|Y|Y|N|\N
40|2|40|Y|N|Y|N|\N
41|2|41|Y|N|N|N|\N
42|2|42|Y|Y|Y|N|\N
43|2|43|Y|Y|Y|N|\N
44|2|44|Y|Y|Y|N|\N
45|2|45|Y|N|Y|N|\N
46|2|46|Y|N|N|N|\N
47|2|47|Y|Y|Y|Y|\N
48|2|48|Y|Y|Y|N|\N
49|2|49|Y|Y|Y|N|\N
50|2|50|Y|Y|Y|Y|\N
51|2|51|Y|N|Y|Y|\N
52|2|52|Y|Y|Y|Y|\N
53|2|53|Y|Y|Y|Y|\N
54|2|54|Y|Y|Y|Y|\N
55|2|55|Y|Y|Y|Y|\N
56|2|56|Y|Y|Y|Y|\N
57|2|57|Y|Y|Y|N|\N
58|2|58|Y|N|N|N|\N
59|2|59|Y|N|N|N|\N
60|2|60|Y|N|N|N|\N
61|2|61|Y|N|N|N|\N
62|2|62|Y|N|N|N|\N
63|2|63|Y|Y|Y|N|\N
64|2|64|Y|Y|Y|N|\N
