1|1|1|Y|Y|Y|Y|Y
2|1|2|Y|Y|Y|Y|Y
3|1|3|Y|Y|Y|Y|Y
4|1|4|Y|Y|Y|Y|Y
5|1|5|Y|Y|Y|Y|Y
6|1|6|Y|Y|Y|Y|Y
7|1|7|Y|Y|Y|Y|Y
8|1|8|Y|Y|Y|Y|Y
9|1|9|Y|Y|Y|Y|Y
10|1|10|Y|Y|Y|Y|Y
11|1|11|Y|Y|Y|Y|Y
12|1|12|Y|Y|Y|Y|Y
13|1|13|Y|Y|Y|Y|Y
14|1|14|Y|Y|Y|Y|Y
15|1|15|Y|Y|Y|Y|Y
16|1|16|Y|Y|Y|Y|Y
17|1|17|Y|Y|Y|Y|Y
18|1|18|Y|Y|Y|Y|Y
19|1|19|Y|Y|Y|Y|Y
20|1|20|Y|Y|Y|Y|Y
21|1|21|Y|Y|Y|Y|Y
22|1|22|Y|Y|Y|Y|Y
23|1|23|Y|Y|Y|Y|Y
24|1|24|Y|Y|Y|Y|Y
25|1|25|Y|Y|Y|Y|Y
26|1|26|Y|Y|Y|Y|Y
27|1|27|Y|Y|Y|Y|Y
28|1|28|Y|Y|Y|Y|Y
29|1|29|Y|Y|Y|Y|Y
30|1|30|Y|Y|Y|Y|Y
31|1|31|Y|Y|Y|Y|Y
32|1|32|Y|Y|Y|Y|Y
33|1|33|Y|Y|Y|Y|Y
34|1|34|Y|Y|Y|Y|Y
35|1|35|Y|Y|Y|Y|Y
36|1|36|Y|Y|Y|Y|Y
37|1|37|Y|Y|Y|Y|Y
38|1|38|Y|Y|Y|Y|Y
39|1|39|Y|Y|Y|Y|Y
40|1|40|Y|Y|Y|Y|Y
41|1|41|Y|Y|Y|Y|Y
42|1|42|Y|Y|Y|Y|Y
43|1|43|Y|Y|Y|Y|Y
44|1|44|Y|Y|Y|Y|Y
45|1|45|Y|Y|Y|Y|Y
46|1|46|Y|Y|Y|Y|Y
47|1|47|Y|Y|Y|Y|Y
48|1|48|Y|Y|Y|Y|Y
49|1|49|Y|Y|Y|Y|Y
50|1|50|Y|Y|Y|Y|Y
51|1|51|Y|Y|Y|Y|Y
52|1|52|Y|Y|Y|Y|Y
53|1|53|Y|Y|Y|Y|Y
54|1|54|Y|Y|Y|Y|Y
55|1|55|Y|Y|Y|Y|Y
56|1|56|Y|Y|Y|Y|Y
57|1|57|Y|Y|Y|Y|Y
58|1|58|Y|Y|Y|Y|Y
59|1|59|Y|Y|Y|Y|Y
60|1|60|Y|Y|Y|Y|Y
